id,nome,endereco,bairro,latitude,longitude,status_geocodificacao,endereco_encontrado
CONV-01,ANDREA MARIA,ESTRADA DOS ORQUIDÓFILOS n° 1075 - ENGENHO VELHO - CEP: 06843-150,,"-23,6621347","-46,8592768",VALIDADO,"Estr. dos Orquidófilos, 1075 - Chácaras Marajuara, Embu das Artes - SP, 06843-460, Brasil"
CONV-02,ASMOREJI,"RUA JAÇANÃ, 138, JARDIM FABIANA, EMBU DAS ARTES , SP, CEP 06820-020",Jardim Fabiana,"-23,6542301","-46,7938684",VALIDADO,"R. Jaçanã, 138 - Jardim Fabiana, Embu das Artes - SP, 06820-020, Brasil"
CONV-03,AVE MARIA,"AVENIDA ESCO, 751 - JARDIM MAGALI - CEP: 06833-085",Jardim Magali,"-23,654968","-46,8424656",VALIDADO,"Av. Esco, 751 - Jardim Magali, Embu das Artes - SP, 06833-080, Brasil"
CONV-04,BETEL,"RUA ILHA COMPRIDA, 201 - JARDIM DAS OLIVEIRAS - CEP: 06817-180",Jardim Das Oliveiras,"-23,6239187","-46,8124013",VALIDADO,"R. Ilha Comprida, 201 - Jardim dos Oliveiras, Embu das Artes - SP, 06817-180, Brasil"
CONV-05,BOSQUINHO,"AVENIDA ROTARY, 2299 - PARQUE LUIZA - CEP: 06810-240",Parque Luiza,"-23,6477315","-46,820119",VALIDADO,"Av. Rotary, 2299 - Parque Luiza, Embu das Artes - SP, 06816-155, Brasil"
CONV-06,CEI GABRIELA,"AVENIDA JOÃO BATISTA MEDINA, 468 - CHÁCARAS ANA LUCIA - CEP:06803-447",,"-23,6502962","-46,8584795",VALIDADO,"Av. João Batista Medina, 468 - Jardim Maranhao, Embu das Artes - SP, 06840-000, Brasil"
CONV-07,CRISTO RESSUSCITADO,"RUA ARARIBÓIA, 215 - PARQUE PIRAJUSSARA - CEP:06815-270",Parque Pirajussara,"-23,6541013","-46,8145845",VALIDADO,"R. Araribóia, 215 - Parque Pirajussara, Embu das Artes - SP, 06815-270, Brasil"
CONV-08,FLORESTAN,"RUA BRASIL, 783 - JD VALO VERDE - EMBU DAS ARTES - SP - CEP: 06813-085",Jd Valo Verde,"-23,6540837","-46,8066149",VALIDADO,"R. Brasil - Jardim Valo Verde, Embu das Artes - SP, 06813-085, Brasil"
CONV-09,PASTOR AMÉRICO,"ESTR. VELHA DE COTIA, 5152 - PARQUE SÃO LEONARDO, EMBU DAS ARTES - SP, 06845-205.",Parque São Leonardo,"-23,6330209","-46,9050066",VALIDADO,"Av. Ecologista de João de Oliveira Ramos de Sá, 5152, Embu das Artes - SP, Brasil"
CONV-10,CRECHE MILTON,"RUA BOLIVIA, 114 - JARDIM DO MORAIS - CEP: 06814-190",Jardim Do Morais,"-23,6600666","-46,8201963",VALIDADO,"R. Bolívia, 114 - Pirajussara, Embu das Artes - SP, 06814-210, Brasil"
CONV-11,ESTRELA DA MANHÃ,RUA MILÃO N° 46 - VILA REGINA - CEP: 06813-290,Vila Regina,"-23,6482556","-46,8026202",VALIDADO,"R. Milão, 46 - Chácaras Pirajussara, Embu das Artes - SP, 06813-290, Brasil"
CONV-12,ISIS CRISTINA,"RUA FRANCISCA RODRIGUES ARIANO, 127 -VL. ISIS CRISTINA - CEP: 06816-110",,"-23,649373","-46,8203245",VALIDADO,"R. Francisca Rodrigues Adriano, 127 - Vila Isis Cristina, Embu das Artes - SP, 06816-110, Brasil"
CONV-13,JD. SILVIA,"RUA PIAUÍ, 326 - JARDIM SILVIA - CEP: 06804-320",Jardim Silvia,"-23,6423473","-46,8495706",VALIDADO,"R. Piauí, 326 - Jardim Silvia, Embu das Artes - SP, 06804-320, Brasil"
CONV-14,JARDIM LOURDES,"RUA ILHA COMPRIDA, 201 - JARDIM DAS OLIVEIRAS - CEP: 06817-180",Jardim Das Oliveiras,"-23,6239187","-46,8124013",VALIDADO,"R. Ilha Comprida, 201 - Jardim dos Oliveiras, Embu das Artes - SP, 06817-180, Brasil"
CONV-15,JOSEFA RODRIGUES,"AVENIDA DO REALISMO, 155 - JARDIM VITORIA - CEP: 06826-030",Jardim Vitoria,"-23,6556547","-46,7996915",VALIDADO,"Av. do Realismo, 155 - Jardim Marina, Embu das Artes - SP, 06826-040, Brasil"
