territorio_cras,tipo,texto
Vazame,potencialidade,Creche Josefa Rodrigues período Integral
Vazame,potencialidade,Centro de Referencia da Assistência Social – CRAS
Vazame,potencialidade,Pronto Socorro
Vazame,potencialidade,Unidade Básica de saúde – UBS
Vazame,potencialidade,Centro de especialidades
Vazame,potencialidade,Pastoral da Criança
Vazame,potencialidade,Associações
Vazame,potencialidade,Praças
Vazame,potencialidade,Campos
Vazame,potencialidade,Quadras
Vazame,potencialidade,Escolas
Vazame,potencialidade,Trabalho de voluntários da escolinha de futebol
Vazame,potencialidade,Igrejas
Vazame,potencialidade,Transporte público
Vazame,problema,Baixa oferta de vagas de berçários
Vazame,problema,Na saúde a criança não é assistida como prioridade absoluta que ela tipica ou atípicas
Vazame,problema,Ônibus inadequado e em numero insuficiente
Vazame,problema,"Pouca oferta de praças, espaços de lazer cultura, brinquedoteca, acesso a natureza com segurança"
Vazame,problema,ausência de Serviço convivência Fortalecimento de vínculos para a faixa etária
Vazame,proposta,Ampliação de Nº de vagas em Berçários
Vazame,proposta,Fiscalização pelo poder publico nas empresas privadas (Auxilio creche)
Vazame,proposta,"Aplicação do Estatuto da Criança e Adolescente – ECA, marco regulatório da primeira infância na sade para crianças tipicas e atípicas"
Vazame,proposta,Aumento da quantidade de ônibus para diminuir o tempo de espera e melhor conservação /manutenção
Vazame,proposta,Implementação do marco legal criança e natureza(projeto de Lei ) 2225/2024
Vazame,proposta,Planejamento urbano priorizando a primeira infância
Vazame,proposta,Implementar Serviço Convivência Fortalecimento de vínculos – SCFV para a faixa etária
Centro,potencialidade,creche integral ( três unidades )
Centro,potencialidade,Serviço de convivência e fortalecimento de vínculos - SCFV - Amigo Mirim - 4e5 anos Projeto em parceria com CMDCA
Centro,potencialidade,CRAS Centro
Centro,problema,Baixa oferta de vagas de berçários
Centro,problema,Na saúde a criança não é assistida como prioridade absoluta que ela tipica ou atípicas
Centro,problema,Ônibus inadequado e em numero insuficiente
Centro,problema,"Pouca oferta de praças, espaços de lazer cultura, brinquedoteca, acesso a natureza com segurança"
Centro,problema,ausência de Serviço convivência Fortalecimento de vínculos para a faixa etária
Centro,proposta,Ampliação de Nº de vagas em Berçários
Centro,proposta,Fiscalização pelo poder publico nas empresas privadas (Auxilio creche)
Centro,proposta,"Aplicação do Estatuto da Criança e Adolescente – ECA, marco regulatório da primeira infância na sade para crianças tipicas e atípicas"
Centro,proposta,Aumento da quantidade de ônibus para diminuir o tempo de espera e melhor conservação /manutenção
Centro,proposta,Implementação do marco legal criança e natureza(projeto de Lei ) 2225/2024
Centro,proposta,Planejamento urbano priorizando a primeira infância
Centro,proposta,Implementar Serviço Convivência Fortalecimento de vínculos – SCFV para a faixa etária
Vista Alegre,potencialidade,Creches em período Integral
Vista Alegre,potencialidade,As escolas são muito Boas
Vista Alegre,potencialidade,UBS's
Vista Alegre,potencialidade,ONG's
Vista Alegre,potencialidade,CRAS
Vista Alegre,potencialidade,Parquinho ao lado da UBS
Vista Alegre,potencialidade,Praça
Vista Alegre,potencialidade,Campos e quadras
Vista Alegre,potencialidade,Transporte escolar porta a porta
Vista Alegre,problema,Baixa oferta de vagas em creche integral
Vista Alegre,problema,"Baixa oferta de vagas em creche para Berçários,"
Vista Alegre,problema,Falta de vagas de serviço de convivência e fortalecimento de vínculos - SCFV ( para a Faixa etária)
Vista Alegre,problema,"Falta de especialidades médicas: Fono, Neuro, psiquiatra e psicólogos"
Vista Alegre,problema,Capacitação dos profissionais de saúde para lidar com crianças
Vista Alegre,proposta,"Construção de novos berçários / creches, com ampliação do horário para período integral com auxiliar educacional para crianças atípicas (PCD) conforme demanda e com oferta do porta a porta para as crianças dentro dos critérios"
Vista Alegre,proposta,"Criação e implantação de um sistema integrado entre as politicas setoriais para diagnosticar e identificar as vulnerabilidades do município, a fim de assegurar e garantir os direitos das crianças (0-6) em todas as politicas ( Assistência, Saúde educação etc.)"
