territorio_cras,categoria,equipamento,bairro_informado,fonte
Vazame,Saúde,UBS Valo Verde,Valo Verde,Imersão PMPI - planilha territorial
Vazame,Educação,Em Amílton Suga - Fund I Eja,Valo Verde,Imersão PMPI - planilha territorial
Vazame,Saúde,Centro de Referencia em Saúde Irmã Annete,Valo verde,Imersão PMPI - planilha territorial
Vazame,Educação,Em Ipê - Pré Escola,Jd. Jurema,Imersão PMPI - planilha territorial
Vazame,Saúde,Hospital Leito Vazame,Vazame,Imersão PMPI - planilha territorial
Vazame,Educação,Em José Salvador Julianelli – Fund I,Novo Campo Limpo,Imersão PMPI - planilha territorial
Vazame,Saúde,Ambulatório de feridas,Valo Verde,Imersão PMPI - planilha territorial
Vazame,Educação,Em Vazame - Pré Escola,Vazame,Imersão PMPI - planilha territorial
Vazame,Educação,Nei Valo Verde - Pré Escola,Valo Verde,Imersão PMPI - planilha territorial
Vazame,Educação,Creche Josefa Rodrigues de Queiroz – Creche,Jd. Marina,Imersão PMPI - planilha territorial
Vazame,Educação,Em Milton Santos – Creche,Valo Verde,Imersão PMPI - planilha territorial
Centro,Saúde,Farmácia Excepcional – Alto Custo,Centro,Imersão PMPI - planilha territorial
Centro,Educação,Em Mauro Ferreira - Pré Escola Fund I,Embuarama,Imersão PMPI - planilha territorial
Centro,Esporte,"Estádio Municipal Hermínio Espósito - Al Fernando Batista Medina,  120",Centro,Imersão PMPI - planilha territorial
Centro,Cultura,Centro Cultural Mestre Assis Do Embu,Centro,Imersão PMPI - planilha territorial
Centro,Saúde,UBS Eufrásio P. Costa,Sílvia,Imersão PMPI - planilha territorial
Centro,Educação,Em Mellone Creche - Pré Escola,JD. Sílvia,Imersão PMPI - planilha territorial
Centro,Esporte,"Atividades no Parque Francisco Rizzo (Conviver) | R Alberto Giosa, 390/420",Pq. Francisco Rizzo,Imersão PMPI - planilha territorial
Centro,Cultura,Memorial Sakai.,Vila Cercado Grande,Imersão PMPI - planilha territorial
Centro,Saúde,UBS Ressaca,Ressaca,Imersão PMPI - planilha territorial
Centro,Educação,Nei Tomé - Pré Escola,Tomé,Imersão PMPI - planilha territorial
Centro,Esporte,"Campo do Magali | Estr. do Gramado, 835",Jd. Magali,Imersão PMPI - planilha territorial
Centro,Cultura,Biblioteca Moacyr de Faria Jordão,Centro,Imersão PMPI - planilha territorial
Centro,Saúde,UBS Embu,Centro,Imersão PMPI - planilha territorial
Centro,Educação,Em Magali - Pré Escola,São Francisco,Imersão PMPI - planilha territorial
Centro,Esporte,"Quadra Society – Jd. Tomé - Estrada do Embu, s/nº",Jd. Tomé,Imersão PMPI - planilha territorial
Centro,Saúde,Centro de Convivência ( Conviver),Pq. Rizzo,Imersão PMPI - planilha territorial
Centro,Educação,Nei Magali - Pré Escola,Jd. Magali,Imersão PMPI - planilha territorial
Centro,Saúde,Centro da Atenção Psicossocial Ad Embu,Centro,Imersão PMPI - planilha territorial
Centro,Educação,Em Iodoque Rosa - Pré Escola Fund I,Engenho Velho,Imersão PMPI - planilha territorial
Centro,Saúde,Centro da Atenção Psicossocial II,Centro,Imersão PMPI - planilha territorial
Centro,Educação,Nei Ressaca - Pré Escola,Ressaca,Imersão PMPI - planilha territorial
Centro,Saúde,Centro Especializado em reabilitação – CER,Maria Auxiliadora,Imersão PMPI - planilha territorial
Centro,Educação,Creche Ave Maria – Creche,Jd. Magali,Imersão PMPI - planilha territorial
Centro,Saúde,Consultório na rua,Centro,Imersão PMPI - planilha territorial
Centro,Educação,Creche Santa Luzia – Creche,Santa Luzia,Imersão PMPI - planilha territorial
Centro,Saúde,Equipe de Apoio Multidisciplinar,Centro,Imersão PMPI - planilha territorial
Centro,Educação,Creche Engenho Velho – Creche,Engenho Velho,Imersão PMPI - planilha territorial
Centro,Saúde,PS Central,Centro,Imersão PMPI - planilha territorial
Centro,Educação,Creche Gabriela Pires – Creche,Novo Embu,Imersão PMPI - planilha territorial
Centro,Saúde,Maternidade Central,Centro,Imersão PMPI - planilha territorial
Centro,Educação,Creche Jardim Sílvia - Creche,Sílvia,Imersão PMPI - planilha territorial
Centro,Saúde,Samu Regional,Magali,Imersão PMPI - planilha territorial
Centro,Educação,Creche Kolping Embu – Creche,V. Maria Auxiliadora,Imersão PMPI - planilha territorial
Centro,Saúde,Serviço de residencia terapêutica,Novo Embu,Imersão PMPI - planilha territorial
Centro,Educação,Creche Kolping – Creche Ressaca,Ressaca,Imersão PMPI - planilha territorial
Centro,Saúde,Ambulatório de crônicos,Sílvia,Imersão PMPI - planilha territorial
Centro,Educação,Creche Rio Pequeno – Creche,Pq. Rangel,Imersão PMPI - planilha territorial
Centro,Saúde,Sae IST Embu das artes,Sílvia,Imersão PMPI - planilha territorial
Vista Alegre,Saúde,UBS PQ Esplanada,Pq. Esplanada,Imersão PMPI - planilha territorial
Vista Alegre,Educação,Em Rosa Cirelli – Pré Escola e Fund I,Santa Barbara,Imersão PMPI - planilha territorial
Vista Alegre,Esporte,"Campo Jd. Vista Alegre | Rua Montenegro, 748",Jardim Vista Alegre,Imersão PMPI - planilha territorial
Vista Alegre,Saúde,UBS Vista Alegre,Vista Alegre,Imersão PMPI - planilha territorial
Vista Alegre,Educação,Em Mundo Da Criança - Creche Pré Escola,Esplanada,Imersão PMPI - planilha territorial
Vista Alegre,Esporte,"Campo do Jardim Mimás - Rua Austrália, 75",Jardim Mimás,Imersão PMPI - planilha territorial
Vista Alegre,Saúde,UBS Mimás,Mimas,Imersão PMPI - planilha territorial
Vista Alegre,Educação,Nei Jd. De Lourdes - Pré Escola,Jd. Lourdes,Imersão PMPI - planilha territorial
Vista Alegre,Educação,Em Astrolgilda - Pré e Escola e Fund I,Vista Alegre,Imersão PMPI - planilha territorial
Vista Alegre,Educação,Em Janaína - Pré Escola e Fund I,Jd. Mimas,Imersão PMPI - planilha territorial
Vista Alegre,Educação,Em Murilo Ferreira - Pré Escola,Vista Alegre,Imersão PMPI - planilha territorial
Vista Alegre,Educação,Em Maria Das Graças – Creche,Vista Alegre,Imersão PMPI - planilha territorial
Vista Alegre,Educação,Em Vista Alegre( Em Clóvis Tenório Ap) - Pré Escola,Vista Alegre,Imersão PMPI - planilha territorial
Vista Alegre,Educação,Creche Betel – Creche,Pq. Esplanada,Imersão PMPI - planilha territorial
Vista Alegre,Educação,Creche Jardim De Lourdes – Creche,Jd. Lourdes,Imersão PMPI - planilha territorial
Fátima,Saúde,UBS São Luiz,São Luiz,Imersão PMPI - planilha territorial
Fátima,Educação,Em Jatobá - Pré Escola Eja,Parque Luíza,Imersão PMPI - planilha territorial
Fátima,Esporte,"Campo de Futebol Perequê - Av. Rotary, 3.326 –",Jd. Perequê,Imersão PMPI - planilha territorial
Fátima,Cultura,Centro Cultural Parque Pirajuçara - Valdelice,Parque Pirajussara,Imersão PMPI - planilha territorial
Fátima,Saúde,UBS N. Sra. De Fátima,Nayara,Imersão PMPI - planilha territorial
Fátima,Educação,Em Nilza Prestes,São Luiz,Imersão PMPI - planilha territorial
Fátima,Esporte,Ginásio Poliesportivo Valdelice - Av.  Aimara 405 –,Parque Pirajussara,Imersão PMPI - planilha territorial
Fátima,Saúde,UBS São Marcos,São Marcos,Imersão PMPI - planilha territorial
Fátima,Educação,"Em Reynaldo - Pré Escola, Fund I e Eja",Nossa Senhora De Fátima,Imersão PMPI - planilha territorial
Fátima,Esporte,"Praça da Juventude - Av. Augusto de Almeida Batista, s/nº –",Jd. São Marcos,Imersão PMPI - planilha territorial
Fátima,Educação,"Em Valdelice Ap Medeiros Prass - Pré Escola, Fund I, Fund Ii e Eja",Pq. Pirajussara,Imersão PMPI - planilha territorial
Fátima,Esporte,"Céu Jd. Do Colégio - Rua Ursa Maior, s/nº",Jd. do Colégio,Imersão PMPI - planilha territorial
Fátima,Educação,Creche As. Peq. Parque Pirajussara – Creche,Pq. Pirajussara,Imersão PMPI - planilha territorial
Fátima,Educação,Creche Bosquinho – Creche,Pq. Luiza,Imersão PMPI - planilha territorial
Fátima,Educação,Creche Santa Inês – Creche,São Luiz,Imersão PMPI - planilha territorial
Fátima,Educação,Creche Cristo Ressuscitado - Creche,Pq. Pirajussara,Imersão PMPI - planilha territorial
Itatuba,Educação,Em Mikio Umeda - Pré Escola,Itatuba,Imersão PMPI - planilha territorial
Itatuba,Esporte,"Campo do Itatuba - Estrada Velha de Cotia, 336",Jardim Itatuba,Imersão PMPI - planilha territorial
Itatuba,Educação,Nei Capuava - Pré Escola,Capuava,Imersão PMPI - planilha territorial
Itatuba,Educação,Em Pastor Américo – Creche,Pedreira ( Itatuba),Imersão PMPI - planilha territorial
Pinheirinho,Educação,Em Santo Antônio - Creche Pré Escola,Santo Antônio,Imersão PMPI - planilha territorial
Pinheirinho,Esporte,Campo de grama sintética,,Imersão PMPI - planilha territorial
Pinheirinho,Educação,Em Marajoara - Fund I,Santa Clara,Imersão PMPI - planilha territorial
Pinheirinho,Esporte,Quadra do Santa Clara,,Imersão PMPI - planilha territorial
Pinheirinho,Educação,Em Jequitibá - Fund I,Pinheirinho,Imersão PMPI - planilha territorial
