camada,id,codigo_origem,nome,endereco,bairro_informado,fq,categoria,subcategoria,fonte,ano_referencia,status_atualizacao,abreviacao
educacao-municipal,educacao-municipal-1,1,ANEXO JEQUITIBA,PRACA ARAUCARIA 537,JD. PINHEIRINHO,15.54.67.0005.01.000,Educação,Rede municipal,Base municipal de Equipamentos Urbanos,2021,validar_atualidade,
educacao-municipal,educacao-municipal-2,2,CENTRO EDUCACIONAL PARA DEFICIENTES ARMANDO VIDIGAL,"R AUGUSTO DE ALMEIDA BATISTA, 354",JD. S MARCOS,80.01.06.0362.01.000,Educação,Rede municipal,Base municipal de Equipamentos Urbanos,2021,validar_atualidade,
educacao-municipal,educacao-municipal-3,3,EM DEPUTADO JOSE SALVADOR JULIANELLI,"R GUAIBA, 614",JD. N.C. LIMPO,12.44.73.6010.01.000,Educação,Rede municipal,Base municipal de Equipamentos Urbanos,2021,validar_atualidade,
educacao-municipal,educacao-municipal-4,4,EM DOM JOSE,"ESTR DE ITAPECERICA A CAMPO LIMPO, 3133",JD. STO EDUARDO,17.42.39.0244.01.000,Educação,Rede municipal,Base municipal de Equipamentos Urbanos,2021,validar_atualidade,
educacao-municipal,educacao-municipal-5,5,EM DR IODOQUE ROSA,"R BOLIVIA, 200",ENG. VELHO,80.01.12.0003.01.000,Educação,Rede municipal,Base municipal de Equipamentos Urbanos,2021,validar_atualidade,
educacao-municipal,educacao-municipal-6,6,EM ENGENHEIRO JOSE ARNALDO MELLONE,R PROF CANDIDO MOTA FILHO,JARDIM SILVIA,10.21.92.0459.01.000,Educação,Rede municipal,Base municipal de Equipamentos Urbanos,2021,validar_atualidade,
educacao-municipal,educacao-municipal-7,7,EM ESTELA,"R CORSEGA, 119�",V. OLINDA,80.01.03.1049.01.000,Educação,Rede municipal,Base municipal de Equipamentos Urbanos,2021,validar_atualidade,
educacao-municipal,educacao-municipal-8,8,EM GIRASSOL,"R BUTANTA, 125",JARDIM STA TEREZA NOVO,12.14.06.0327.01.000,Educação,Rede municipal,Base municipal de Equipamentos Urbanos,2021,validar_atualidade,
educacao-municipal,educacao-municipal-9,9,EM HERMINIO ESPOSITO,"R BELGRADO, 55",V. OLINDA,12.12.45.0311.01.000,Educação,Rede municipal,Base municipal de Equipamentos Urbanos,2021,validar_atualidade,
educacao-municipal,educacao-municipal-10,10,EM INES CARDOSO DA SILVA,"AVENIDA ROTARY, 5225",JARDIM CASA BRANCA,12.21.41.0001.01.000,Educação,Rede municipal,Base municipal de Equipamentos Urbanos,2021,validar_atualidade,
educacao-municipal,educacao-municipal-11,11,EM IPE,"R SAO LUCAS, 50",JD. JUREMA,12.41.30.1034.01.000,Educação,Rede municipal,Base municipal de Equipamentos Urbanos,2021,validar_atualidade,
educacao-municipal,educacao-municipal-12,12,EM IRMA MARIA ILUMINATA,"R BOROROS, 100",JD. STA CLARA,15.43.96.0376.01.000,Educação,Rede municipal,Base municipal de Equipamentos Urbanos,2021,validar_atualidade,
educacao-municipal,educacao-municipal-13,13,EM JACARANDA,"ESTR ITAPECERICA A C. LIMPO, 665�",JD. JULIA,80.01.03.0175.01.000,Educação,Rede municipal,Base municipal de Equipamentos Urbanos,2021,validar_atualidade,
educacao-municipal,educacao-municipal-14,14,EM JANAINA AGOSTINHO OLIVEIRA,R AUSTRALIA. 32,JD. MIMAS,02.63.75.0002.01.000,Educação,Rede municipal,Base municipal de Equipamentos Urbanos,2021,validar_atualidade,
educacao-municipal,educacao-municipal-15,15,EM JATOBA,"AVENIDA ROTARY, 3621",JARDIM SAO LUIZ,07.43.01.0300.01.000,Educação,Rede municipal,Base municipal de Equipamentos Urbanos,2021,validar_atualidade,
educacao-municipal,educacao-municipal-16,16,EM JEQUITIBA,"R CAJUEIRO, 44�",JD. PINHEIRINHO,15.54.67.0005.01.000,Educação,Rede municipal,Base municipal de Equipamentos Urbanos,2021,validar_atualidade,
educacao-municipal,educacao-municipal-17,17,EM JOSE CARLOS GONCALVES,"R SAO BERNARDO, 13 LJ 2",JD. S MARCOS,11.64.15.0578.01.000,Educação,Rede municipal,Base municipal de Equipamentos Urbanos,2021,validar_atualidade,
educacao-municipal,educacao-municipal-18,18,EM MAGALI,"AVENIDA ROTARY, 1.051",GRAMADO,11.11.67.1834.01.000,Educação,Rede municipal,Base municipal de Equipamentos Urbanos,2021,validar_atualidade,
educacao-municipal,educacao-municipal-19,19,EM MARAJOARA,"R TABARANA, 40",JARDIM SANTA CLARA,15.44.33.1640.01.000,Educação,Rede municipal,Base municipal de Equipamentos Urbanos,2021,validar_atualidade,
