Bairro,Bairros_Ab,Cod_Bairro,Unidade_Ad,Codigo_UA,Regiao,Populacao_,Mulheres_2,Homens_201,Domicilios,Densidade_,Populaca_1,Densidad_1,Area_km2
PARQUE FRANCISCO RIZZO,PQ FCO RIZZO,512,CENTRO,5,CENTRO,23,10,13,6,44.68653398710314,25,49,0.514696440915242
VILA BONFIM,VL BONFIM,503,CENTRO,5,CENTRO,554,285,269,141,1379.3370954784978,598,1489,0.401642210461842
JARDIM NOVO EMBU,JD N EMBU,508,CENTRO,5,CENTRO,1637,892,745,468,8883.983090610078,1767,9589,0.184264195834662
CENTRO,CENTRO,509,CENTRO,5,CENTRO,954,502,452,318,2535.44287191548,1029,2735,0.376265626241174
CERCADO GRANDE,CERCADO GDE,506,CENTRO,5,CENTRO,1283,684,599,393,5237.705553807337,1386,5658,0.244954586854806
EMBUEMA,EMBUEMA,507,CENTRO,5,CENTRO,642,341,301,204,3632.4602517019093,692,3915,0.176739717853542
AGUA MORNA,AGUA MORNA,504,CENTRO,5,CENTRO,146,76,70,40,539.3136813179412,158,584,0.270714437733555
TINGIDOR,TINGIDOR,510,CENTRO,5,CENTRO,180,102,78,53,343.46699060450555,194,370,0.524067828710986
MARIA AUXILIADORA,M AUXILIADORA,511,CENTRO,5,CENTRO,2399,1266,1133,720,7930.133329640368,2591,8565,0.302516981780531
JARDIM LAVORATO,JD LAVORATO,1201,PARQUE INDUSTRIAL,12,CENTRO,910,449,461,277,5734.115720317842,982,6188,0.158699273677992
COOPERATIVA,COOPERATIVA,1208,PARQUE INDUSTRIAL,12,CENTRO,41,23,18,13,53.34365710393366,45,59,0.768601221324523
JARDIM SADIE,JD SADIE,1204,PARQUE INDUSTRIAL,12,CENTRO,1638,860,778,512,3507.4512032342486,1768,3786,0.467005784282783
GRAMADO,GRAMADO,1202,PARQUE INDUSTRIAL,12,CENTRO,674,351,323,206,619.3691515152161,728,669,1.088204019123548
JARDIM MAGALY,JD MAGALY,1205,PARQUE INDUSTRIAL,12,CENTRO,2498,1275,1223,713,5064.048624423084,2696,5465,0.493281203492508
JARDIM PINHEIROS,JD PINHEIROS,701,PINHEIRINHO,7,CENTRO,1257,645,612,367,4723.406364384427,1357,5099,0.266121502794693
PARQUE INDUSTRIAL DO PINHEIRINHO,PQ IND PINHEIRINHO,704,PINHEIRINHO,7,CENTRO,42,20,22,12,122.35526036085196,46,134,0.343262724268111
JARDIM SANTO ANTONIO,JD STO ANTONIO,702,PINHEIRINHO,7,CENTRO,4087,2077,2010,1138,7231.683982432,4412,7807,0.565151907899818
AGUA ESPRAIADA,AGUA ESPRAIADA,1504,ENGENHO VELHO,15,CENTRO,290,159,131,75,299.4197849576217,313,323,0.968539871341652
CHACARAS LIDIA,CH LIDIA,1503,ENGENHO VELHO,15,CENTRO,338,175,163,104,450.62326404565795,365,487,0.750072237650281
JARDIM SAO LUIZ,JD SAO LUIZ,1802,CASTILHO,18,LESTE,4213,2170,2043,1244,16537.023446986448,4441,17432,0.254761687525317
VILA PEREQUE,VLPEREQUE,1803,CASTILHO,18,LESTE,2119,1093,1026,563,23024.787170852043,2234,24274,0.092031252418373
