Unidade_Ad,Cod_Un_Adm,REGIAO,Populacao_,Mulheres_2,Homens_201,Domicilios,Populaca_1,Area_km2,Hab_Km2
ANGELA-BATISTA,20,LESTE,15770,8075,7695,4458,16628,3.61,4610.93
CAPUAVA-ITATUBA,9,OESTE,6981,3521,3460,2329,7946,17.4,456.69
CASTILHO,18,LESTE,13318,6863,6455,3875,14041,0.77,18190.22
CENTRO,5,CENTRO,14710,7689,7021,4741,15884,4.65,3419.2
COLEGIO-SAO MARCOS,3,LESTE,25023,12930,12597,7426,26917,5.05,5327.0
DOM JOSE-SANTO EDUARDO,2,LESTE,17827,9274,8553,5382,18801,1.05,17916.73
ENGENHO VELHO,15,CENTRO,2828,1489,1339,908,3053,2.27,1342.13
INDEPENDENCIA-CASA BRANCA,10,LESTE,19443,10007,9436,6104,20502,1.14,17964.94
NOSSA SENHORA DE FATIMA,4,LESTE,10054,5101,4953,2981,10600,0.53,20118.78
OLIVEIRAS,17,CENTRO,4788,2417,2371,1141,5168,1.12,4607.46
PARQUE INDUSTRIAL,12,CENTRO,5974,3066,2908,1851,6450,5.87,1098.91
PINHEIRINHO,7,CENTRO,12416,6305,6111,3603,13404,4.81,2784.48
PIRAJUSSARA,19,LESTE,11037,5780,5257,3405,11636,1.64,7112.54
RESSACA,13,OESTE,1389,699,690,556,1581,7.58,208.5
SANTA CLARA,14,CENTRO,2927,1511,1416,807,3160,1.12,2828.12
SANTA EMILIA,8,LESTE,16912,8718,8194,4877,17831,0.78,22730.46
SANTA TEREZA,11,LESTE,19694,10261,9433,6066,20768,0.9,23075.33
TOME,16,OESTE,6639,3358,3281,2005,7558,5.92,1275.94
VAZAME,1,LESTE,17457,8809,8144,5183,17880,0.8,22319.31
VISTA ALEGRE,6,CENTRO,15043,7629,7414,4491,16242,3.37,4821.13
